loss,accuracy
6.4655961990356445,0.06115107913669065
7.1531829833984375,0.04713804713804714
6.81328821182251,0.06642066420664207
6.683840274810791,0.04794520547945205
7.578378200531006,0.055762081784386616
6.994826793670654,0.05970149253731343
6.826661586761475,0.06622516556291391
6.386775970458984,0.04642857142857143
6.724766254425049,0.05194805194805195
6.67258358001709,0.07829181494661921
6.612399578094482,0.07346938775510205
6.753658771514893,0.04779411764705882
6.642872333526611,0.07430340557275542
6.690608978271484,0.04460966542750929
6.647635459899902,0.06504065040650407
6.571713447570801,0.07636363636363637
6.689457416534424,0.08637873754152824
6.537408351898193,0.0695970695970696
6.807127475738525,0.055944055944055944
6.684881210327148,0.06766917293233082
6.569447040557861,0.06614785992217899
6.760707378387451,0.07
7.027359485626221,0.038314176245210725
6.70985746383667,0.05755395683453238
6.6512603759765625,0.06159420289855073
6.59367561340332,0.06015037593984962
7.010028839111328,0.06367041198501873
6.376276969909668,0.07664233576642336
6.738107681274414,0.05054151624548736
6.499136924743652,0.03859649122807018
6.593720436096191,0.034482758620689655
6.563431739807129,0.07042253521126761
