loss,accuracy
5.20725154876709,0.18004866180048662
5.3770599365234375,0.1875
5.47532320022583,0.18028846153846154
5.31048583984375,0.1885245901639344
4.939079761505127,0.24494949494949494
5.212883472442627,0.19559902200489
5.167849540710449,0.21365638766519823
5.323738098144531,0.18201754385964913
5.240655899047852,0.18043478260869567
5.292026042938232,0.17119565217391305
5.395600318908691,0.16585365853658537
5.321744918823242,0.23006833712984054
5.174964427947998,0.20987654320987653
5.370398044586182,0.16428571428571428
5.4161248207092285,0.16851441241685144
5.130651473999023,0.1909814323607427
5.003244400024414,0.1897810218978102
5.307041168212891,0.183585313174946
5.1934494972229,0.16587677725118483
4.944338798522949,0.1872146118721461
5.216052055358887,0.1867007672634271
4.922982215881348,0.21525885558583105
4.7906694412231445,0.23076923076923078
5.211893081665039,0.20319634703196346
5.246334075927734,0.16326530612244897
4.983412742614746,0.19458128078817735
5.248462677001953,0.17038539553752535
5.570377826690674,0.17010309278350516
5.193095684051514,0.19086021505376344
5.184249401092529,0.1903765690376569
5.4079670906066895,0.13221153846153846
5.708255290985107,0.13513513513513514
